samples_proportion,x_vars_proportion,time
1,1,477500
2,1,913600
3,1,723700
4,1,942100
5,1,1176300
6,1,1414700
7,1,1700600
8,1,1877200
1,2,260600
2,2,588500
3,2,837900
4,2,1033200
5,2,1299400
6,2,1569300
7,2,1805600
8,2,2083200
1,3,283500
2,3,552300
3,3,823100
4,3,1180600
5,3,1375400
6,3,1649800
7,3,2118200
8,3,2198100
1,4,320700
2,4,915800
3,4,952300
4,4,1263100
5,4,1579600
6,4,1940600
7,4,2405700
8,4,2508900
1,1,263700
2,1,473000
3,1,708200
4,1,951600
5,1,1176500
6,1,1411800
7,1,1647700
8,1,1901000
1,2,260400
2,2,516500
3,2,774700
4,2,1034700
5,2,1330600
6,2,1559000
7,2,1808000
8,2,2085000
1,3,279600
2,3,551000
3,3,823600
4,3,1485200
5,3,1385800
6,3,1648500
7,3,2035700
8,3,2202400
1,4,321100
2,4,707700
3,4,972000
4,4,1265500
5,4,1601200
6,4,1890300
7,4,2476400
8,4,2510500
1,1,237000
2,1,470700
3,1,709200
4,1,965900
5,1,1180500
6,1,1416600
7,1,1646500
8,1,1906000
1,2,260000
2,2,516000
3,2,773700
4,2,1062300
5,2,1299500
6,2,2025300
7,2,1806100
8,2,2072900
1,3,339400
2,3,550800
3,3,866200
4,3,1111300
5,3,1376200
6,3,1646800
7,3,2013200
8,3,2209100
1,4,322400
2,4,870900
3,4,947000
4,4,1266500
5,4,1653500
6,4,1894200
7,4,2226700
8,4,2508500
1,1,237700
2,1,474900
3,1,720400
4,1,1083300
5,1,1180000
6,1,1427000
7,1,1644300
8,1,1877400
1,2,260700
2,2,540500
3,2,772400
4,2,1036400
5,2,1290400
6,2,1995400
7,2,1805500
8,2,2074000
1,3,278000
2,3,551200
3,3,825700
4,3,1101900
5,3,1403000
6,3,1650300
7,3,2022500
8,3,2223600
1,4,322000
2,4,967800
3,4,966200
4,4,1263200
5,4,1902200
6,4,1916400
7,4,2212000
8,4,2758500
1,1,260900
2,1,520800
3,1,1081000
4,1,944100
5,1,1200400
6,1,1415200
7,1,1652900
8,1,1880600
1,2,260400
2,2,516700
3,2,772400
4,2,1038100
5,2,1292000
6,2,1551600
7,2,1814300
8,2,2097700
1,3,277900
2,3,552600
3,3,826600
4,3,1102300
5,3,1376600
6,3,1654300
7,3,2175300
8,3,2199300
1,4,321000
2,4,956000
3,4,947400
4,4,1262600
5,4,1944100
6,4,1893400
7,4,2209100
8,4,2510100
1,1,238900
2,1,472100
3,1,717000
4,1,969900
5,1,1208100
6,1,1420700
7,1,1816000
8,1,1904700
1,2,260400
2,2,519900
3,2,773800
4,2,1057200
5,2,1307100
6,2,1552100
7,2,1806600
8,2,2072900
1,3,278300
2,3,552700
3,3,847700
4,3,1102300
5,3,1375500
6,3,1648700
7,3,1922400
8,3,2202000
1,4,328600
2,4,635100
3,4,946500
4,4,1264200
5,4,1578700
6,4,1889300
7,4,2241600
8,4,2902600
1,1,262000
2,1,518500
3,1,779800
4,1,1149600
5,1,1292700
6,1,1558100
7,1,2806400
8,1,1894800
1,2,260200
2,2,515900
3,2,850300
4,2,1137300
5,2,1434800
6,2,2910200
7,2,2912100
8,2,2431900
1,3,278500
2,3,550700
3,3,1141100
4,3,1212300
5,3,1512200
6,3,1696700
7,3,1927500
8,3,2829500
1,4,320600
2,4,634300
3,4,1022700
4,4,1481700
5,4,1588100
6,4,1891400
7,4,2203900
8,4,2647400
1,1,236500
2,1,472500
3,1,717100
4,1,947500
5,1,1178000
6,1,1411900
7,1,1663300
8,1,1978200
1,2,260200
2,2,516600
3,2,771900
4,2,1182900
5,2,1292200
6,2,1549800
7,2,1806900
8,2,2075400
1,3,278000
2,3,550600
3,3,916500
4,3,1106100
5,3,1376000
6,3,1651900
7,3,1927900
8,3,2223300
1,4,321600
2,4,635700
3,4,946300
4,4,1264900
5,4,1578900
6,4,1891100
7,4,2206100
8,4,2511600
1,1,265100
2,1,475600
3,1,705200
4,1,941900
5,1,1178100
6,1,1414000
7,1,1646200
8,1,1881200
1,2,296900
2,2,516600
3,2,780100
4,2,1035200
5,2,1422600
6,2,1570700
7,2,1805900
8,2,2086900
1,3,277900
2,3,549800
3,3,953100
4,3,1102800
5,3,1374900
6,3,1789100
7,3,1923900
8,3,2199800
1,4,322000
2,4,633800
3,4,970000
4,4,1445900
5,4,1578200
6,4,1889800
7,4,2205400
8,4,2530700
1,1,236900
2,1,472000
3,1,704800
4,1,942800
5,1,1176900
6,1,1749100
7,1,1649600
8,1,1878300
1,2,259600
2,2,519700
3,2,772200
4,2,1033000
5,2,1392200
6,2,1551400
7,2,1806200
8,2,2095300
1,3,584100
2,3,608300
3,3,1743700
4,3,2247600
5,3,2830500
6,3,1814500
7,3,2129600
8,3,3042400
1,4,499500
2,4,843000
3,4,1165800
4,4,1579100
5,4,2560700
6,4,2282800
7,4,4456300
8,4,3261400
1,1,265900
2,1,619300
3,1,959000
4,1,1983000
5,1,1603900
6,1,1740800
7,1,2014100
8,1,2277500
1,2,262900
2,2,521600
3,2,772700
4,2,1039200
5,2,1291700
6,2,1553900
7,2,1806100
8,2,2078700
1,3,306300
2,3,606800
3,3,973400
4,3,1217900
5,3,1518100
6,3,2032400
7,3,2127800
8,3,2199400
1,4,717000
2,4,636800
3,4,948800
4,4,1753000
5,4,1586800
6,4,1889100
7,4,2494600
8,4,2507900
1,1,243500
2,1,471500
3,1,706100
4,1,940900
5,1,1175600
6,1,1414200
7,1,1645900
8,1,1922900
1,2,260700
2,2,526200
3,2,772300
4,2,1039700
5,2,1496500
6,2,1550900
7,2,1804500
8,2,2083900
1,3,278200
2,3,549700
3,3,824900
4,3,1104400
5,3,1375000
6,3,1653500
7,3,1933700
8,3,2207400
1,4,320600
2,4,635600
3,4,949400
4,4,1264100
5,4,1589400
6,4,1892200
7,4,2794500
8,4,2517500
1,1,237300
2,1,472500
3,1,707000
4,1,940900
5,1,1178700
6,1,1441200
7,1,1656900
8,1,1885400
1,2,260600
2,2,1168800
3,2,773300
4,2,1033700
5,2,1312200
6,2,1555100
7,2,1806700
8,2,2109800
1,3,306400
2,3,550500
3,3,824500
4,3,1146900
5,3,1374700
6,3,1647400
7,3,2085300
8,3,2202300
1,4,321100
2,4,634600
3,4,948700
4,4,1263000
5,4,1624000
6,4,1891400
7,4,2326600
8,4,2542000
1,1,237000
2,1,476300
3,1,706800
4,1,941100
5,1,1185800
6,1,1418200
7,1,1646700
8,1,1877000
1,2,260700
2,2,516100
3,2,772600
4,2,1033600
5,2,1292500
6,2,1914100
7,2,1803200
8,2,2074200
1,3,279000
2,3,549800
3,3,823200
4,3,1102200
5,3,1377100
6,3,1648700
7,3,1930400
8,3,2419600
1,4,352100
2,4,687100
3,4,948000
4,4,1265600
5,4,1577700
6,4,1895300
7,4,2202800
8,4,2517600
1,1,238700
2,1,476200
3,1,706200
4,1,942000
5,1,1178000
6,1,1425800
7,1,2136200
8,1,1894900
1,2,259600
2,2,516500
3,2,772300
4,2,1036100
5,2,1293300
6,2,1556400
7,2,1906900
8,2,2071500
1,3,277700
2,3,554900
3,3,825700
4,3,1103100
5,3,1374800
6,3,1647800
7,3,1925300
8,3,2205900
1,4,320600
2,4,633300
3,4,1070700
4,4,1396600
5,4,1825900
6,4,1891600
7,4,2203300
8,4,2507800
1,1,240600
2,1,473100
3,1,706600
4,1,943000
5,1,1181300
6,1,1415400
7,1,1656800
8,1,1884100
1,2,259300
2,2,516900
3,2,772800
4,2,1051800
5,2,1292500
6,2,1581100
7,2,1805200
8,2,2073600
1,3,277900
2,3,605000
3,3,824400
4,3,1100800
5,3,1683600
6,3,1656600
7,3,1928200
8,3,2869600
1,4,352400
2,4,698400
3,4,954300
4,4,1266600
5,4,1578400
6,4,1892400
7,4,2202900
8,4,2832700
1,1,237300
2,1,473100
3,1,710300
4,1,1458800
5,1,1340100
6,1,1583300
7,1,1652300
8,1,1883800
1,2,260500
2,2,519200
3,2,775700
4,2,1033500
5,2,1290100
6,2,1556400
7,2,1805600
8,2,2098100
1,3,278100
2,3,901000
3,3,824500
4,3,1102100
5,3,1375200
6,3,1662100
7,3,1949500
8,3,2630500
1,4,322600
2,4,632800
3,4,1427100
4,4,1266900
5,4,1623900
6,4,2097100
7,4,2437000
8,4,2879700
1,1,262400
2,1,519300
3,1,781700
4,1,1353900
5,1,1180000
6,1,1426800
7,1,1654000
8,1,2083200
1,2,261000
2,2,516800
3,2,773400
4,2,1040000
5,2,1291700
6,2,1550500
7,2,1831000
8,2,2085100
1,3,277300
2,3,620900
3,3,827000
4,3,1105200
5,3,1382800
6,3,1649500
7,3,1929600
8,3,2791300
1,4,320400
2,4,634400
3,4,1184800
4,4,1310700
5,4,1579700
6,4,1906600
7,4,2208700
8,4,3061600
1,1,237300
2,1,472600
3,1,707700
4,1,940400
5,1,1174300
6,1,1410800
7,1,1645800
8,1,2043300
1,2,261800
2,2,516200
3,2,781500
4,2,1372800
5,2,1292100
6,2,1552700
7,2,1805800
8,2,2075000
1,3,278800
2,3,551800
3,3,825000
4,3,1107700
5,3,1382500
6,3,1655000
7,3,1924300
8,3,2212600
1,4,329700
2,4,634000
3,4,949900
4,4,1265900
5,4,1577500
6,4,1890200
7,4,2205400
8,4,2509700
1,1,456600
2,1,477200
3,1,710200
4,1,942200
5,1,1175800
6,1,1438800
7,1,1644700
8,1,1878000
1,2,260400
2,2,517200
3,2,772700
4,2,1033900
5,2,1835000
6,2,1550900
7,2,1802400
8,2,2202700
1,3,278500
2,3,549100
3,3,824700
4,3,1105100
5,3,1375200
6,3,1647800
7,3,1928200
8,3,2241100
1,4,321000
2,4,637000
3,4,949200
4,4,1272900
5,4,1579500
6,4,1930900
7,4,2511100
8,4,2507600
1,1,248700
2,1,471800
3,1,708000
4,1,940900
5,1,1178900
6,1,1410200
7,1,1650500
8,1,1880000
1,2,260100
2,2,516900
3,2,773200
4,2,1034900
5,2,1298000
6,2,1780200
7,2,1803000
8,2,2075100
1,3,662100
2,3,554800
3,3,824400
4,3,1106400
5,3,1378100
6,3,1649800
7,3,1925600
8,3,2203200
1,4,321100
2,4,634200
3,4,953800
4,4,1273200
5,4,1577900
6,4,1891200
7,4,2207900
8,4,2761000
1,1,260400
2,1,517800
3,1,777700
4,1,947200
5,1,1255000
6,1,1413800
7,1,1653500
8,1,2079800
1,2,286200
2,2,567400
3,2,774700
4,2,1034800
5,2,1291200
6,2,1552900
7,2,1806500
8,2,2097700
1,3,278000
2,3,554100
3,3,826800
4,3,1101900
5,3,1376900
6,3,1650500
7,3,1924800
8,3,2201000
1,4,320600
2,4,633000
3,4,1042000
4,4,1390400
5,4,1735000
6,4,1892500
7,4,2203300
8,4,3835200
1,1,238900
2,1,475600
3,1,729100
4,1,941200
5,1,1173800
6,1,1416500
7,1,1658300
8,1,1876800
1,2,260200
2,2,516600
3,2,1049000
4,2,1135600
5,2,1420400
6,2,1704100
7,2,1819400
8,2,2077200
1,3,277900
2,3,616400
3,3,905800
4,3,1214300
5,3,1375900
6,3,1654500
7,3,1932900
8,3,2201500
1,4,320700
2,4,633300
3,4,948200
4,4,1263300
5,4,1579000
6,4,1901700
7,4,2205400
8,4,2508300
1,1,237100
2,1,471700
3,1,709400
4,1,1092500
5,1,1185000
6,1,1411100
7,1,1645400
8,1,1889800
1,2,260600
2,2,515900
3,2,780300
4,2,1034400
5,2,1300100
6,2,1581900
7,2,2262000
8,2,2085100
1,3,278000
2,3,549700
3,3,824100
4,3,1105400
5,3,1397900
6,3,1649600
7,3,1931300
8,3,2229900
1,4,320800
2,4,634300
3,4,972200
4,4,1263500
5,4,1582000
6,4,2294000
7,4,2207900
8,4,2504500
1,1,244400
2,1,473400
3,1,709000
4,1,946200
5,1,1180100
6,1,1418800
7,1,1649400
8,1,1896400
1,2,260200
2,2,517100
3,2,772600
4,2,1033800
5,2,1292600
6,2,1551000
7,2,1817600
8,2,2074500
1,3,278100
2,3,550600
3,3,824900
4,3,1103100
5,3,1375200
6,3,1652900
7,3,1927400
8,3,2238600
1,4,484800
2,4,634000
3,4,999700
4,4,1337200
5,4,1580500
6,4,1915200
7,4,2208600
8,4,2506500
1,1,237900
2,1,625500
3,1,704100
4,1,940700
5,1,1176800
6,1,1413600
7,1,1655100
8,1,1881400
1,2,260300
2,2,517300
3,2,774200
4,2,1033700
5,2,1291200
6,2,1553400
7,2,1808800
8,2,2073600
1,3,306800
2,3,605300
3,3,906000
4,3,1223800
5,3,1378400
6,3,1648400
7,3,2035600
8,3,2199600
1,4,320700
2,4,634100
3,4,946900
4,4,1271700
5,4,1592200
6,4,1891300
7,4,2381100
8,4,2528700
1,1,237200
2,1,472500
3,1,776000
4,1,1067000
5,1,1308600
6,1,1561700
7,1,1646900
8,1,1912100
1,2,259800
2,2,521700
3,2,772400
4,2,1032600
5,2,1297000
6,2,1880600
7,2,1804100
8,2,2070900
1,3,312000
2,3,551500
3,3,824500
4,3,1102000
5,3,1376100
6,3,1649600
7,3,1924100
8,3,2200600
1,4,320300
2,4,632600
3,4,947700
4,4,1270300
5,4,1607700
6,4,1890000
7,4,2204100
8,4,2506200
1,1,236700
2,1,471500
3,1,711500
4,1,1076300
5,1,1178800
6,1,1425800
7,1,1655000
8,1,1901500
1,2,262000
2,2,516000
3,2,772900
4,2,1066300
5,2,1300100
6,2,1549200
7,2,2215200
8,2,2075300
1,3,277600
2,3,550900
3,3,824300
4,3,1101800
5,3,1375300
6,3,1654800
7,3,1924000
8,3,2198600
1,4,354400
2,4,696500
3,4,1045700
4,4,1390500
5,4,1745600
6,4,2084500
7,4,2452600
8,4,2874600
1,1,236900
2,1,472500
3,1,704800
4,1,946200
5,1,1176800
6,1,1414800
7,1,1852300
8,1,2123900
1,2,259800
2,2,516600
3,2,777200
4,2,1038900
5,2,1292100
6,2,1550200
7,2,1921100
8,2,2074200
1,3,277700
2,3,566700
3,3,879700
4,3,1101900
5,3,1374800
6,3,1655700
7,3,1926600
8,3,2202500
1,4,359200
2,4,771200
3,4,2844400
4,4,1328700
5,4,1642000
6,4,1903400
7,4,2391000
8,4,2528900
1,1,236200
2,1,470500
3,1,762900
4,1,948600
5,1,1181800
6,1,1411500
7,1,1646800
8,1,1883300
1,2,260700
2,2,516300
3,2,779700
4,2,1034900
5,2,1302300
6,2,1804400
7,2,1848700
8,2,2142100
1,3,278500
2,3,550800
3,3,825600
4,3,1102900
5,3,1380000
6,3,1678400
7,3,1931300
8,3,2211500
1,4,322200
2,4,633700
3,4,951800
4,4,1287000
5,4,1579000
6,4,1902400
7,4,2268100
8,4,2519600
1,1,238100
2,1,470500
3,1,738000
4,1,942600
5,1,1182900
6,1,1442400
7,1,1644900
8,1,1876900
1,2,260300
2,2,522000
3,2,773500
4,2,1033600
5,2,1318900
6,2,1822500
7,2,1810000
8,2,2086300
1,3,281400
2,3,550100
3,3,830600
4,3,1102700
5,3,1403200
6,3,1659200
7,3,1925400
8,3,2229400
1,4,322400
2,4,633000
3,4,952600
4,4,1272600
5,4,1578100
6,4,1891300
7,4,2218800
8,4,2983600
1,1,237200
2,1,470800
3,1,705000
4,1,945000
5,1,1184700
6,1,1435600
7,1,1683700
8,1,2266100
1,2,261700
2,2,520700
3,2,771600
4,2,1040300
5,2,1293700
6,2,1582500
7,2,2248900
8,2,2076400
1,3,277700
2,3,550600
3,3,826500
4,3,1101500
5,3,1678100
6,3,1654200
7,3,1924100
8,3,2214600
1,4,359600
2,4,697500
3,4,953400
4,4,1269100
5,4,1592800
6,4,2078900
7,4,2202900
8,4,2510000
1,1,237900
2,1,472200
3,1,704800
4,1,936900
5,1,1232700
6,1,1409100
7,1,1640600
8,1,1903100
1,2,260300
2,2,515700
3,2,776000
4,2,1033500
5,2,1313700
6,2,1551200
7,2,1803900
8,2,2078200
1,3,277400
2,3,553200
3,3,907100
4,3,1101800
5,3,1375400
6,3,1648300
7,3,1926400
8,3,2205600
1,4,509400
2,4,633400
3,4,952800
4,4,1398900
5,4,1619200
6,4,1940900
7,4,2565300
8,4,2766500
1,1,260700
2,1,469600
3,1,704100
4,1,935500
5,1,1179400
6,1,1633600
7,1,1643700
8,1,1888900
1,2,261700
2,2,519700
3,2,779300
4,2,1032000
5,2,1293600
6,2,1547700
7,2,1804400
8,2,2096100
1,3,278200
2,3,550500
3,3,824400
4,3,1151800
5,3,1378000
6,3,1647700
7,3,2159000
8,3,2202100
1,4,320200
2,4,633800
3,4,947500
4,4,1263600
5,4,1578700
6,4,1892800
7,4,2216800
8,4,2528800
1,1,235700
2,1,473000
3,1,703700
4,1,940200
5,1,1176400
6,1,1410700
7,1,1838300
8,1,2066700
1,2,286400
2,2,568400
3,2,786600
4,2,1033400
5,2,1291200
6,2,1568300
7,2,1808500
8,2,2071300
1,3,277600
2,3,550600
3,3,826900
4,3,1101600
5,3,1397600
6,3,1655100
7,3,1951700
8,3,2424600
1,4,352000
2,4,696500
3,4,947600
4,4,1264100
5,4,1578200
6,4,2080500
7,4,2423500
8,4,2762900
1,1,236800
2,1,470200
3,1,758600
4,1,947200
5,1,1179300
6,1,1411300
7,1,1687800
8,1,1874800
1,2,259900
2,2,518900
3,2,953900
4,2,1038200
5,2,1306400
6,2,1551400
7,2,1807600
8,2,2085700
1,3,278000
2,3,550800
3,3,825100
4,3,1105400
5,3,1745200
6,3,1822500
7,3,2125100
8,3,2271200
1,4,321200
2,4,633400
3,4,953100
4,4,1262400
5,4,1590000
6,4,1892100
7,4,2204300
8,4,2623600
1,1,238900
2,1,470300
3,1,705600
4,1,942000
5,1,2131000
6,1,1425000
7,1,1663300
8,1,2068900
1,2,286500
2,2,568300
3,2,849600
4,2,1045800
5,2,1294500
6,2,1560200
7,2,1808300
8,2,2076000
1,3,277800
2,3,550500
3,3,824700
4,3,1102100
5,3,1544200
6,3,1648200
7,3,1927400
8,3,2606900
1,4,320100
2,4,633500
3,4,1105800
4,4,1262600
5,4,1579300
6,4,1892500
7,4,2203500
8,4,2634300
1,1,236200
2,1,477000
3,1,705100
4,1,939900
5,1,1227600
6,1,1413700
7,1,1646500
8,1,1883400
1,2,260000
2,2,515600
3,2,773300
4,2,1038000
5,2,1323500
6,2,1548200
7,2,1802800
8,2,2297200
1,3,277400
2,3,550500
3,3,904000
4,3,1105800
5,3,1373900
6,3,1780700
7,3,1945400
8,3,2200900
1,4,323000
2,4,632500
3,4,946000
4,4,1266400
5,4,1608200
6,4,1891500
7,4,2217100
8,4,2534500
1,1,236600
2,1,472500
3,1,707400
4,1,939800
5,1,1178300
6,1,2138200
7,1,1654400
8,1,1875000
1,2,260400
2,2,572100
3,2,848900
4,2,1138000
5,2,1871700
6,2,1549500
7,2,1807100
8,2,2609100
1,3,305300
2,3,604700
3,3,982900
4,3,1103900
5,3,1376800
6,3,1647600
7,3,1924400
8,3,2217200
1,4,321000
2,4,633500
3,4,971700
4,4,1513700
5,4,1590500
6,4,1891900
7,4,2267800
8,4,2524400
1,1,236200
2,1,476700
3,1,704900
4,1,939800
5,1,1172400
6,1,1528500
7,1,1680200
8,1,1880200
1,2,264300
2,2,517300
3,2,772300
4,2,1031800
5,2,1347900
6,2,1561600
7,2,1803800
8,2,2074400
1,3,279700
2,3,549900
3,3,824300
4,3,1105600
5,3,1375500
6,3,1653400
7,3,2092300
8,3,2209000
1,4,321900
2,4,633500
3,4,951400
4,4,1290100
5,4,1580700
6,4,1925700
7,4,2222200
8,4,2508400
1,1,236400
2,1,468700
3,1,871000
4,1,939800
5,1,1182600
6,1,1419700
7,1,1965300
8,1,1878100
1,2,260500
2,2,520900
3,2,772400
4,2,1034000
5,2,1293400
6,2,1551600
7,2,1809000
8,2,2086900
1,3,278200
2,3,551100
3,3,830800
4,3,1102200
5,3,1671000
6,3,1648100
7,3,1929600
8,3,2198600
1,4,321800
2,4,632300
3,4,948800
4,4,1263800
5,4,1586300
6,4,1891500
7,4,2201800
8,4,2904800
1,1,235900
2,1,493300
3,1,703700
4,1,935200
5,1,1189100
6,1,1414700
7,1,1644700
8,1,2302500
1,2,259500
2,2,518500
3,2,771900
4,2,1639600
5,2,1294000
6,2,1562100
7,2,1810900
8,2,2078100
1,3,278600
2,3,552400
3,3,919100
4,3,1101100
5,3,1400000
6,3,1649100
7,3,1923500
8,3,2224000
1,4,352900
2,4,697000
3,4,1046500
4,4,1392200
5,4,1736900
6,4,2082400
7,4,2436500
8,4,3498400
1,1,260700
2,1,519700
3,1,776300
4,1,1039000
5,1,1180400
6,1,1413600
7,1,1642600
8,1,1900200
1,2,261000
2,2,516700
3,2,780500
4,2,1033700
5,2,1290200
6,2,1551400
7,2,2055300
8,2,2096300
1,3,277400
2,3,550000
3,3,824900
4,3,1102300
5,3,1373700
6,3,1649100
7,3,1929800
8,3,2202800
1,4,326900
2,4,634300
3,4,951100
4,4,1400000
5,4,1759600
6,4,2075900
7,4,2218400
8,4,2517700
1,1,261500
2,1,518800
3,1,773600
4,1,1039700
5,1,1224600
6,1,1411200
7,1,1649200
8,1,2145700
1,2,260000
2,2,515900
3,2,776900
4,2,1525900
5,2,1290400
6,2,1559300
7,2,1829100
8,2,2074600
1,3,277000
2,3,550700
3,3,827200
4,3,1103200
5,3,1375000
6,3,2028500
7,3,2115900
8,3,2420800
1,4,320100
2,4,637200
3,4,950200
4,4,1401300
5,4,1736100
6,4,2123500
7,4,2204100
8,4,2505600
1,1,239100
2,1,496300
3,1,709600
4,1,946000
5,1,1570800
6,1,1410800
7,1,1647400
8,1,1930100
1,2,260500
2,2,516400
3,2,772400
4,2,1037200
5,2,1292500
6,2,1548500
7,2,1803100
8,2,2074200
1,3,277500
2,3,549500
3,3,823000
4,3,1104600
5,3,1382500
6,3,1647900
7,3,1925900
8,3,2202100
1,4,320000
2,4,638100
3,4,946400
4,4,1265100
5,4,1581000
6,4,1890700
7,4,2331500
8,4,2508200
1,1,236800
2,1,475200
3,1,716300
4,1,944300
5,1,1185100
6,1,1417600
7,1,1644600
8,1,1884400
1,2,260600
2,2,768800
3,2,772500
4,2,1033500
5,2,1292400
6,2,1943300
7,2,1808700
8,2,2072800
1,3,278000
2,3,552200
3,3,827000
4,3,1101500
5,3,1374800
6,3,1648200
7,3,2099300
8,3,2232000
1,4,321300
2,4,799900
3,4,946200
4,4,1269500
5,4,1960300
6,4,1922400
7,4,2203200
8,4,2516300
1,1,238800
2,1,478200
3,1,707400
4,1,948000
5,1,1177000
6,1,1418000
7,1,1648600
8,1,1882600
1,2,261500
2,2,515700
3,2,776200
4,2,1035200
5,2,1294800
6,2,1568200
7,2,1806500
8,2,2088500
1,3,301600
2,3,655200
3,3,826300
4,3,1105700
5,3,1375300
6,3,1662200
7,3,1925100
8,3,2316700
1,4,319700
2,4,633200
3,4,1119700
4,4,1286400
5,4,1584900
6,4,2143400
7,4,2203900
8,4,2572700
1,1,237900
2,1,469000
3,1,709300
4,1,943000
5,1,1180000
6,1,1418300
7,1,1646300
8,1,1880900
1,2,260000
2,2,518200
3,2,773900
4,2,1033500
5,2,1299200
6,2,1559400
7,2,1807600
8,2,2073900
1,3,278900
2,3,550700
3,3,1128000
4,3,1212600
5,3,1523600
6,3,1861300
7,3,2115500
8,3,2440700
1,4,320400
2,4,632300
3,4,946800
4,4,1264600
5,4,1600600
6,4,2137700
7,4,2204200
8,4,2509000
1,1,261600
2,1,479500
3,1,705700
4,1,966800
5,1,1311700
6,1,1412200
7,1,1690900
8,1,1914100
1,2,260800
2,2,515700
3,2,772700
4,2,1049300
5,2,1293400
6,2,1549700
7,2,1805000
8,2,2077200
1,3,278000
2,3,549800
3,3,824500
4,3,1107600
5,3,1374800
6,3,1748200
7,3,1930100
8,3,2202200
1,4,321500
2,4,637300
3,4,948200
4,4,1618100
5,4,1578200
6,4,1891500
7,4,2206900
8,4,2512200
1,1,238100
2,1,473200
3,1,709000
4,1,943800
5,1,1177200
6,1,1701800
7,1,1651800
8,1,2081200
1,2,289400
2,2,568200
3,2,850700
4,2,1136400
5,2,1759200
6,2,1707100
7,2,1984200
8,2,2208900
1,3,279200
2,3,549700
3,3,826200
4,3,1108500
5,3,1374500
6,3,1656400
7,3,1923500
8,3,2200900
1,4,320400
2,4,633700
3,4,965400
4,4,1263100
5,4,1577100
6,4,1891200
